繁體,簡體,拼音,詞例,定義,又作
諳,谙,an˥˥,不諳,熟悉
庵,庵,an˥˥,施耐庵,圓形草屋
鵪,鹌,an˥˥,鵪鶉
鞍,鞍,an˥˥,鞍子，馬鞍
安,安,an˥˥,安全，平安
桉,桉,an˥˥,桉樹
氨,氨,an˥˥,聚氨酯,一種有強烈刺激氣味的無機化合物，氫與氮化合而成
按,按,an˥˩,按鈕，按照，按時
岸,岸,an˥˩,岸然，海岸
黯,黯,an˥˩,黯然銷魂
犴,犴,an˥˩,狴犴,傳說中的獸名
暗,暗,an˥˩
案,案,an˥˩,案件，檔案
胺,胺,an˥˩/an˥˥,聚酰亞胺,氨分子中的氫原子被烴基取代而成的有機化合物
俺,俺,an˨˩˦,俺們
銨,铵,an˨˩˦,氯化銨
哀,哀,aɪ˥˥,哀悼，悲哀
埃,埃,aɪ˥˥,埃及，塵埃
挨,挨,aɪ˥˥,挨戶，挨家，挨近,依次，順次，靠近
哎,哎,aɪ˥˥,哎呀，哎喲
唉,唉,aɪ˥˥,唉聲歎氣,（歎詞）表示失望或無可奈何
璦,瑷,aɪ˥˩
靉,叆,aɪ˥˩,靉靆,雲彩很厚的樣子
隘,隘,aɪ˥˩,狹隘
愛,爱,aɪ˥˩,愛情，疼愛
唉,唉,aɪ˥˩,"",（歎詞）表示傷感或惋惜
曖,暧,aɪ˥˩,曖昧
艾,艾,aɪ˥˩,艾草，艾灸
砹,砹,aɪ˥˩,"",化學元素85
礙,碍,aɪ˥˩,礙事，障礙
嬡,嫒,aɪ˥˩,令嬡,（敬語）稱對方的女兒
捱,挨,aɪ˧˥,捱餓，捱打，捱罵，捱日子,遭受，親身受到，困難地度過
癌,癌,aɪ˧˥/jɛn˧˥,癌症，胃癌
矮,矮,aɪ˨˩˦,矮小，低矮
藹,蔼,aɪ˨˩˦,藹然可親，和藹
毐,毐,aɪ˨˩˦,嫪毐,（人名）
噯,嗳,aɪ˨˩˦,噯酸
二,二,aɻ˥˩,"",（數字）
貳,贰,aɻ˥˩,"",數字“二”的大寫
兒,儿,aɻ˧˥,兒子，女兒，嬰兒
而,而,aɻ˧˥,而且，然而
邇,迩,aɻ˨˩˦,聞名遐邇
耳,耳,aɻ˨˩˦,耳朵，木耳
洱,洱,aɻ˨˩˦,普洱茶
餌,饵,aɻ˨˩˦,誘餌，魚餌
爾,尔,aɻ˨˩˦
錒,锕,a˥˥,"",化學元素89
阿,阿,a˥˥,阿斗，阿姨，阿飛
吖,吖,a˥˥,吖啶,（音譯用字）
啊,啊,a˥˥,啊！好美啊，啊！下雪了，啊！失火了，啊！太精彩了,（歎詞）表示贊歎、驚異、吃驚等語氣
啊,啊,a˥˩,啊！好吧，啊！原來是你,（歎詞）表示應諾、醒悟、明白等語氣
啊,啊,a˧,不錯啊，多美啊，快來啊，很好啊，小心啊,（助詞）表示贊歎、驚歎、疑問、肯定、辯解、催促，停頓、列舉等語氣
啊,啊,a˧˥,啊？你說什麼，啊？你再說,（歎詞）表示疑問、疑惑、反問、追問等語氣
啊,啊,a˨˩˦,啊？這怎麼回事，啊？有這種事啊,（歎詞）表示驚異、疑惑、驚疑等語氣
番,番,fan˥˥,一番，輪番，三番五次,（量詞）種，樣，回，次，遍；更替，替換
番,番,fan˥˥,番人，番邦，番茄，番薯，番石榴,未開化的；外國的，外族的,蕃
帆,帆,fan˥˥,帆布
翻,翻,fan˥˥,翻譯，推翻,"",飜，繙
藩,藩,fan˥˥,藩籬，藩屬，外藩
幡,幡,fan˥˥
旛,旛,fan˥˥
帆,帆,fan˥˥/fan˧˥,帆船，揚帆
販,贩,fan˥˩,販賣，小販
範,范,fan˥˩,範圍，模範
飯,饭,fan˥˩,飯館，白飯
犯,犯,fan˥˩,犯錯，罪犯
梵,梵,fan˥˩,梵文
范,范,fan˥˩,"",（姓）
泛,泛,fan˥˩,"","",氾，汎
凡,凡,fan˧˥,凡人，平凡
煩,烦,fan˧˥,煩惱，麻煩
繁,繁,fan˧˥,繁忙，頻繁
樊,樊,fan˧˥,樊籬
釩,钒,fan˧˥,"",化學元素23
蕃,蕃,fan˧˥,蕃茂，蕃昌,草木茂盛
礬,矾,fan˧˥,明礬，膽礬
