啊	啊	a·	不错啊，多美啊，快来啊，很好啊，小心啊	（助词）表示赞叹、惊叹、疑问、肯定、辩解、催促，停顿、列举等语气	
巴	巴	ba·	尾巴，哑巴		
吧	吧	ba·	好吧，去吧，说吧，不会吧，算了吧	（语气助词）表示可以，允许，推测，估量，命令等	
呗	唄	bei·		（语气助词）	
臂	臂	bei·/bì	胳臂		
卜	蔔	bwo·/bwó	萝卜，胡萝卜		
擘	擘	bwò	巨擘，文坛巨擘	大拇指；巨擘：杰出的人物	
簸	簸	bwò	簸箕	（名词）	
薄	薄	bwò	薄荷，薄荷糖，薄荷油，薄荷脑，薄荷叶	薄荷，一种草本植物	
伯	伯	bwó	伯父，伯母，伯爵，伯兄，伯伯，大伯，老伯，伯仲之间，伯乐相马	父亲的哥哥	
薄	薄	bwó	薄弱，薄酬，浅薄，刻薄，菲薄，薄利多销	（用于合成词和成语）扁平，不厚	
柏	柏	bwó	柏林，柏拉图，都柏林	（地名、人名）译音字	
脖	脖	bwó	脖子		
搏	搏	bwó	搏斗，肉搏		
膊	膊	bwó	胳膊，赤膊	上肢，上身	
泊	泊	bwó	停泊，漂泊，泊位，淡泊	停船靠岸	
勃	勃	bwó	兴致勃勃		
渤	渤	bwó	渤海		
博	博	bwó	博士，博爱		
驳	駁	bwó	驳斥，反驳		
铂	鉑	bwó		化学元素78	
帛	帛	bwó	帛琉，布帛		
舶	舶	bwó	船舶，舶来品	大船	
箔	箔	bwó	金箔，铝箔纸		
礴	礴	bwó	磅礴，气势磅礴		
亳	亳	bwó	亳州	（地名）	
馞	馞	bwó	馝馞	香气浓郁	
僰	僰	bwó		中国古代少数民族之一	
欂	欂	bwó	欂栌	斗栱，一种梁柱间的衔接结构	
钹	鈸	bwó/bá	铙钹	一种铜质的打击乐器	
剥	剝	bwō	剥夺，剥削，剥离，生吞活剥	（用于合成词和成语）去掉外面的皮壳	
玻	玻	bwō	玻璃		
拨	撥	bwō	拨号，挑拨		
波	波	bwō	波浪，电波		
菠	菠	bwō	菠菜		
